Unidade da Federação;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Total
33 Rio de Janeiro;99210;401592;555463;662506;638420;1311708;1203989;1058659;836449;496422;260375;100886;7625679
Total;1378532;5638455;7624144;8725413;8558868;17091222;14484322;12012583;8737339;5265099;2757891;1133122;93406990
