Unidade da Federação;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Total
Rio de Janeiro;122345;498975;606627;608822;656590;1208174;1076118;899479;584345;376996;198873;62991;6900335
Total;1635916;6691010;8402353;8777639;9019130;14862546;12319858;9332857;6000922;3792534;2009900;731350;83576015
