Unidade da Federação;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Total
33 Rio de Janeiro;95990;390823;537528;642527;631856;1355428;1309208;1186159;991806;633664;385306;203955;8364250
Total;1334712;5444460;7345231;8441348;8432002;17258381;15148771;12830135;9679282;6084830;3547194;1802463;97348809
