Unidade da Federação;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Total
Rio de Janeiro;118082;481746;588635;594407;659702;1257964;1182198;1023524;682795;482790;294699;124405;7490947
Total;1577394;6471408;8139974;8570428;8920685;15128634;12970615;9935378;6506394;4389501;2511989;1100755;86223155
