Sexo;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais
Homens;1275;251;133;169;893;3662;3372;5135;9517;16484;17637;17990
Mulheres;1094;208;97;110;261;1024;1718;3551;6695;12658;16299;30033
