Sexo;Menor de 1 ano;1 a  4 anos;5 a  9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais
Feminino  ;1372;215;157;194;311;413;590;749;1004;1431;2196;3050;3566;4155;4801;6104;7155;20948
Masculino ;1626;314;178;266;1343;1950;1990;1885;1924;2483;3374;4819;5738;6084;6495;7101;7229;12884
