Faixa etária da mãe;2010;2022
15 a 19 anos;18916;9841
20 a 24 anos;28339;22461
25 a 29 anos;27964;23164
30 a 34 anos;20946;19201
35 a 39 anos;10497;12617
40 a 44 anos;2598;4069
45 a 49 anos;161;287
 ;;
