Sexo;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais
Masculino;99210;401592;555463;662506;638420;1311708;1203989;1058659;836449;496422;260375;100886
Feminino;95990;390823;537528;642527;631856;1355428;1309208;1186159;991806;633664;385306;203955
