Ano	15 a 19 anos	20 a 24 anos	25 a 29 anos	30 a 34 anos	35 a 39 anos	40 a 44 anos	45 a 49 anos
2010	0.11063	0.15045	0.12102	0.08127	0.04471	0.01468	0.00168
2000	0.15877	0.21383	0.16728	0.09991	0.05469	0.018	0.00209
