Faixa etária,Homens,Mulheres
Menor 1 ano,135,111
1 a 4 anos,42,34
5 a 9 anos,9,15
10 a 14 anos,16,22
15 a 19 anos,56,25
20 a 29 anos,178,70
30 a 39 anos,195,86
40 a 49 anos,195,91
50 a 59 anos,239,140
60 a 69 anos,355,178
70 a 79 anos,333,185
80 anos e mais,276,260
