Faixa etária,Homens,Mulheres,Homens_a,Mulheres_a,Ano
Menor 1 ano,6119,6018,,,2022
1 a 4 anos,32994,31758,6203,5951,2022
5 a 9 anos,32530,30713,6559,6225,2022
10 a 14 anos,29925,28288,6140,5818,2022
15 a 19 anos,28873,28002,5911,5473,2022
20 a 29 anos,56928,57483,5892,5831,2022
30 a 39 anos,49021,49653,5614,5688,2022
40 a 49 anos,38388,39836,5154,5341,2022
50 a 59 anos,26167,25688,3372,3187,2022
60 a 69 anos,15943,15524,2150,2067,2022
70 a 79 anos,7146,6633,1189,1029,2022
80 anos e mais,2477,2737,,,2022
