Idade	2000	2010
15 a 19 anos	20760	25260
20 a 24 anos	16294	21788
25 a 29 anos	13430	21792
30 a 34 anos	11606	18669
35 a 39 anos	10175	14839
40 a 44 anos	7926	12269
45 a 49 anos	5710	10379
